Market Name,Open Days 1,Open Hours 1,Open Days 2,Open Hours 2,Open Months 1,Open Months 2,Location,Zip Code,Location 1,Latitude,Longitude
Coastside Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,May - December,,Shoreline Station,94019,"225 Cabrillo Highway
Half Moon Bay, CA 94019
 ",37.46546441,-122.43374
Millbrae Certified Farmers' Market,Saturdays,8:00 a.m. - 1:00 p.m.,,,Year Round,,,94030,"200 Broadway
Millbrae, CA 94030",37.59999646,-122.390614
San Mateo Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,Year Round,,College of San Mateo,94402,"700 West Hillsdale Boulevard
San Mateo, CA 94402","
37.52992568900049",-122.314421
Redwood City Kiwanis Certified Farmers' Market,Saturdays,8:00 a.m. - 12:30 p.m.,,,April - November,,,94063,"500 Arguello St
Redwood City, CA 94063",37.48765,-122.233367
South San Francisco Certified Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,,,May - October,,Orange Memorial Park,94080,"781 Tennis Drive South
San Francisco, CA 94080",37.65557592,-122.4270524
Foster City Charter Square Farmers' Market,Saturdays,9:00 a.m. - 1:00 p.m.,Wednesdays,2:30 p.m. - 6:30 p.m.,Year Round,Year Round,,94404,"791 Beach Park Boulevard
Foster City, CA 94404
",37.54871735,-122.2643009
"The Fresh Market, Burlingame",Sundays,9:00 a.m. - 1:30 p.m.,,,March - December,,,94010,"1300 Burlingame Avenue
Burlingame, CA 94010","
37.57842489900048",-122.3472956
Menlo Park Certified Farmers' Market,Sundays,9:00 a.m. - 1:00 p.m.,,,Year Round,,,94025,"1050 Chestnut Street
Menlo Park, CA 94025",37.45137546,-122.1843561
25th Avenue Certified Farmers' Market,Tuesdays,4:00 p.m. - 8:00 p.m.,,,May - October,,,94403,"194 W 25th Avenue
San Mateo, CA 94403",37.54330796,-122.3090871
Kaiser South San Francisco Farmers' Market,Tuesdays,10:00 a.m. - 2:00 p.m.,,,May - October,,,94080,"1200 El
Camino Real South San Francisco, CA 94080","
37.6577560450005",-122.4379664
Coastside Farmers' Market,Wednesdays,2:30 p.m. - 6:30 p.m.,,,May - December,,Rockaway Beach District,94044,"400 Old County Road
Pacifica, CA 94044","
37.610017799000445",-122.4943611
Hot Harvest Nights - San Carlos Certified Farmers' Market,Thursdays,4:00 p.m. - 8:00 p.m.,,,May - September,,,94070,"700 Laurel Street
San Carlos, CA 94070",37.50508792,-122.259509
The Fresh Market - Burlingame,Thursdays,3:00 p.m. - 7:00 p.m.,,,May - September,,,94010,"1300 Burlingame Avenue
Burlingame, CA 94010","
37.57842489900048",-122.3472956
Brisbane Community Farmers' Market,Thursdays,2:30 p.m. - 6:30 p.m.,Thursdays,3:00 p.m. â€“ 7:00 p.m.,November â€“ March,April â€“ October,,94005,"11 Old County Road
Brisbane, CA 94005",37.685531,-122.401281
East Palo Alto Community Farmers' Market,Wednesdays,12:00 p.m. - 3:00 p.m.,,,April - December,,,94303,"1885 Bay Road East
Palo Alto, CA 94303","
37.472749",-122.132435
Daly City Certified Farmers' Market,Thursdays,9:00 a.m. - 1:00 p.m.,Saturdays,9:00 a.m. - 1:00 p.m.,Year Round,,Serramonte Shopping Center,94015,"3 Serramonte Center
Daly City, CA 94015",37.674353,-122.470824
Foster City Jewish Community Center CFM,Wednesdays,9:00 a.m. - 1:00 p.m.,,,January â€“ December,,,94404,"800 Foster City Blvd
Foster City, CA 94404",37.559776,-122.2664
Portola Valley Farmers' Market,Thursdays,3:00 p.m. - 7:00 p.m.,Thursdays,2:00 p.m. â€“ 5:00 p.m.,May â€“ October,November â€“ December,,94028,"765 Portola Road Portola Valley
CA 94028",37.381084,-122.226718
Pescadero Grown Certified Farmers' Market,Thursdays,3:00 p.m. - 7:00 p.m.,,,June â€“ November,,,94060,"251 Stage Road
Pescadero, CA 94060",37.25283,-122.383109
Redwood City Kiwanis Farmers' Market,Thursdays (twice a month),10:00 a.m. - 3:00 p.m.,,,May â€“ October,,County Government Center,94063,"455 County Government Center
Redwood City, CA 94063","
37.488345",-122.230234
Kaiser Redwood City Farmers' Market,Wednesdays,10:00 a.m. - 2:00 p.m.,,,April - October,,,94063,"1020 Maple Street
Redwood City, CA 94063","
37.489795",-122.221692
Farmers' Market at Visa,Wednesdays,11:00 a.m. - 2:00 p.m.,,,Year Round,,,94044,"900 Metro Center
Foster City, CA 94044","
37.559678",-122.276363
Belmont Certified Farmers' Market,Sundays,10:00 a.m. - 2:00 p.m.,,,Year Round,,,94402,"1200 El
Camino Real Belmont, CA 94402",37.555951,-122.318276
